p_throws,player_name,CH,CU,FC,FF,SI,SL,FIP_based_on_stuff,Predicted_FIP,exp_whiff_pct,exp_homerun_pct,uBB_perc,PA
R,Daniel Hudson,,,,87,,79,3.69,4.35,14.4,4.1,12,91
R,Daniel Mengden,,,,6,,,4.76,5.42,9.7,4.4,12.1,58
R,Daniel Ponce de Leon,,6,79,11,,,4.99,5.89,9.2,4.7,14,143
R,Darren O'Day,,,,12,,8,4.83,4.95,9.5,4.5,7.5,67
R,David Hale,20,13,,39,,,4.44,4.27,9.6,3.7,5.3,75
R,David Phelps,94,,24,59,5,,4.68,4.59,9.8,4.3,5.9,85
R,Dean Kremer,,33,,18,,,4.81,5.77,9.3,4.3,14.5,83
R,Deivi Garcia,33,62,,53,,64,4.1,3.8,12.3,4.1,4.1,146
R,Dellin Betances,57.99999999999999,,,54,,,4.97,6.61,8.2,4.2,20.3,60
R,Dennis Santana,7.000000000000001,,,,75,51,3.65,3.98,11.6,2.8,9.6,73
R,Devin Williams,99,,,82,,,2.39,2.64,17.4,2.6,9,100
R,Diego Castillo,,,,,94,41,3.07,3.72,13,2.2,12.4,89
R,Dillon Tate,,,,24,81,36,3.95,4.07,11.1,3.3,7.8,66
R,Dinelson Lamet,,,,75,69,28.000000000000004,3.48,3.58,14,3.5,7.5,267
R,Dovydas Neverauskas,,97,94,19,,,3.93,4.47,11.9,3.6,11.2,89
R,Drew Rasmussen,,,,90,,,3.2,3.91,14.4,3.1,12.7,71
R,Duane Underwood Jr.,56.99999999999999,78,,50,,,3.95,3.82,11.5,3.4,5.7,87
R,Dustin May,59,76,52,99,97,,3.56,3.57,10.8,2.3,7.1,225
R,Dylan Bundy,24,1,,11,5,21,4.56,4.49,10.3,4.2,6,266
R,Dylan Cease,7.000000000000001,,,86,,83,3.31,4.04,14.1,3.2,12.9,255
R,Dylan Covey,,,,,,11,4.42,4,9.4,3.5,3.3,60
R,Dylan Floro,39,,,,83,43,3.46,2.99,11.4,2.4,3.1,97
R,Edwin Diaz,,,,97,,47,3.13,3.77,16.9,4,11.9,105
R,Elieser Hernandez,,,,36,,6,4.85,4.65,10.6,5,4.7,107
R,Emilio Pagan,,,72,79,,,3.86,4.3,13.1,3.9,10.3,87
R,Enoli Paredes,,,,99,,84,2.95,3.6,15.5,3,12.2,91
R,Erasmo Ramirez,,,,,37,,4.68,4.77,8.1,3.5,7.5,53
R,Eric Yardley,,9,,,17,,5.03,5.47,8.1,4.3,10.3,97
R,Erick Fedde,48,46,90,5,70,,3.95,4.19,9.1,2.4,9,220
R,Evan Marshall,74,69,,51,,,3.43,3.5,12,2.5,7.5,96
R,Evan Phillips,,,,37,,33,4.21,4.99,10.5,3.6,13.2,68
R,Felix Pena,4,,,,64,64,4.1,4.13,10.6,3.4,7,114
R,Frankie Montas,95,,,64,60,48,3.83,4.17,11.3,3.1,9.7,237
R,Franklyn Kilome,,,,,33,,4.65,5.71,9,3.9,15.5,58
R,Freddy Peralta,,41,,91,,,3.81,4.18,13.9,4.2,9.6,116
R,Garrett Richards,,,,80,53,90,3.16,3.28,12.4,2.2,8,213
R,Geoff Hartlieb,,,,,65,23,3.78,5.2,10.1,2.5,18.8,101
R,German Marquez,22,,,46,51,16,3.97,4.02,10.4,3,7.3,343
R,Gerrit Cole,55.00000000000001,,,89,,92,2.85,2.74,16.4,3.2,5.9,315
R,Giovanny Gallegos,,,,9,,36,4.17,4.21,11.6,3.9,7,57
R,Greg Holland,,72,,82,,78,3.17,2.98,12.8,2.3,5.4,111
R,Griffin Canning,32,87,,27,,18,3.95,4.33,13.1,4.2,9.7,238
R,Hansel Robles,94,,,76,,,3.15,3.84,15,3.2,12.5,80
R,Heath Hembree,,,,66,,84,3.44,3.7,14,3.4,8.9,90
R,Hector Neris,98,,,32,,,3.45,3.92,13.5,3.2,10.7,101
R,Hector Rondon,,,,53,,90,3.63,3.93,12.3,3.1,9.3,95
R,Huascar Ynoa,,,,17,,39,4.39,5.05,11.5,4.4,12,99
R,Humberto Castellanos,,0,,10,,,5.12,5.51,8.4,4.6,9.8,51
R,Ian Anderson,45,37,,38,,,4.06,4.48,12,3.9,10.1,137
R,Ian Gibaut,,,,59,,2,4.22,5.27,11.8,4.1,15.3,58
R,Ian Kennedy,,,12,64,,,4.11,4.01,11.9,4,5.8,68
R,Ivan Nova,,,,,24,,4.63,5.03,6.8,2.9,10.2,67
R,J.B. Wendelken,,,,68,,51,3.9,4.34,11.6,3.4,10.4,115
R,Jack Flaherty,,23,,56.00000000000001,67,61,3.93,4.25,11.5,3.4,9.4,170
R,Jacob Barnes,,,88,81,,,3.4,3.21,14.1,3.4,5.1,78
R,Jacob deGrom,86,,,100,,98,2.15,2.13,18.9,2.8,6.7,269
R,Jacob Waguespack,59,,94,36,,,4.4,4.8,10.3,3.9,10,90
R,Jaime Barria,4,,,28.000000000000004,,5,4.9,4.86,10.4,5,6.1,131
R,Jairo Diaz,,,,56.99999999999999,46,62,3.8,4.46,11.2,3,12.3,105
R,Jake Arrieta,33,,,,35,15,4.12,4.3,9,2.7,8.4,188
R,Jake Newberry,,,,38,,75,3.44,4.15,12.4,2.7,12.8,94
R,Jake Odorizzi,,,,24,,43,3.87,3.66,12.2,3.5,5,60
R,Jake Woodford,,31,,54,,33,4.32,4.22,9.8,3.5,5.9,85
R,Jakob Junis,,,,21,,40,4.31,4.01,8.9,3.1,4.4,113
R,James Hoyt,,,,,,19,4.1,4.65,11.4,3.7,11.3,61
R,James Karinchak,,60,,81,,,3.74,4.59,12.5,3.4,13.8,109
R,Jared Hughes,2,32,,,82,,4.41,4.91,8.2,3,11,107
R,Jason Adam,,41,,91,,,3.5,4.36,13.9,3.5,13.8,58
R,Javy Guerra,,,,11,92,72,4.2,4.59,9.8,3.3,10,137
R,Javy Guerra,,,,11,92,72,4.2,4.28,9.8,3.3,7.5,137
R,Jeff Hoffman,76,16,,28.999999999999996,,,4.31,4.44,10.6,3.8,7.7,103
R,Jeff Samardzija,3,,,,,,6.56,6.48,9,8,5.2,77
R,Jeremy Jeffress,67,,,,57.99999999999999,,3.87,4.54,10.4,2.8,12.5,87
R,Jesse Chavez,,,7.000000000000001,,22,,4.86,5.15,7.7,3.8,9.1,76
R,Jesse Hahn,,16,,,50,,4.32,4.97,8.7,3,12.3,65
R,Jeurys Familia,82,,,,95,36,3.42,4.28,11.1,2.2,14.2,118
R,Jimmy Cordero,16,,,,89,72,3.87,3.7,9.6,2.5,5.6,122
R,Jimmy Herget,,,,14.000000000000002,,43,4.65,5.64,9.8,4.2,14.9,83
R,Joakim Soria,,,,28.999999999999996,,63,4.48,4.57,10.7,4.2,7.3,97
R,Joe Jimenez,,,,37,,12,4.45,4.38,11.9,4.7,5.9,97
R,Joe Musgrove,48,57.99999999999999,,28.000000000000004,11,83,3.82,4.15,10.6,2.8,9.6,167
R,Joey Gerber,,,,,21,2,4.65,4.84,10.8,4.6,8.1,62
R,Johan Oviedo,,,,66,,23,4,4.24,10.2,3,8.9,112
R,John Curtiss,,,,42,,13,4.21,3.77,11.5,4,3,88
R,John Gant,,,,,26,,4.38,4.95,9.6,3.6,11.5,61
R,John Schreiber,,26,,47,,,4.79,4.51,8.6,4,4.3,69
R,Johnny Cueto,33,28.999999999999996,,24,37,6,4.14,4.46,11.1,3.7,9.4,276
R,Jon Gray,2,,,34,,57.99999999999999,4.29,4.24,10.6,3.8,6.3,174
R,Jonathan Hernandez,24,,,,84,74,3.31,3.25,12.6,2.5,6.4,118
R,Jonathan Holder,77,,,61,,,3.81,4.18,11.6,3.2,9.9,100
R,Jonathan Loaisiga,24,80,,89,90,,3.57,3.47,12.4,3,6,99
R,Jordan Lyles,12,45,,17,,33,4.5,4.73,10.2,4,8.6,268
R,Jordan Romano,,,,92,,59,2.85,3.09,16,3,8.8,51
R,Jordan Weems,,,,50,,,3.8,4.45,12.6,3.6,12.1,58
R,Jordan Yamamoto,,,,14.000000000000002,,63,4.54,4.99,9.8,4,10.4,67
R,Jorge Alcala,,,,57.99999999999999,,17,3.73,3.95,13.5,3.8,8.5,94
R,Jorge Lopez,46,,,18,56.00000000000001,,4.35,4.29,9.4,3.4,6.3,175
R,Jose Berrios,32,21,,36,73,,4.18,4.53,10.8,3.6,9.6,272
R,Jose Cisnero,77,,,75,,87,3.47,3.64,14,3.5,8.1,122
R,Jose Urena,,,,31,98,64,3.82,4.5,11.4,3.1,12.5,105
R,Jose Urquidy,96,23,,13,,69,4.08,4.1,11.1,3.6,6.9,116
R,Josh A. Smith,,68,,32,,24,3.93,4.01,11.8,3.5,7.4,119
R,Josh James,,,,73,,94,3.61,5.27,13.4,3.5,20.5,84
R,Josh Lindblom,24,6,21,20,,33,4.34,4.55,10.6,3.9,8.4,192
R,Josh Staumont,,59,,97,,,3.44,4.35,13.8,3.3,14.3,113
R,Josh Tomlin,,73,20,1,,,4.68,4.32,9.4,4.1,3.7,161
