p_throws,stand,player_name,CH,CU,FC,FF,SI,SL,FIP_based_on_stuff,Predicted_FIP,exp_whiff_pct,exp_homerun_pct,uBB_perc,PA
L,R,Brent Suter,52,,,34,,,4.76,4.4,6.4,3,3.9,123
L,R,Brett Anderson,40,,43,,70,9,3.99,3.77,10,2.9,5,203
L,R,Brett Martin,,,,74,,66,3.62,4.59,12.9,3.3,14.8,60
L,R,Brooks Raley,,,81,,,,2.94,2.96,14.6,2.6,7.1,84
L,R,Caleb Baragar,,,,73,,,4.04,3.95,13.9,4.7,5.7,88
L,R,Caleb Ferguson,,,,93,,,3.82,3.51,14,4.3,4,75
L,R,Caleb Smith,,,,5,,,5.44,7.12,12.2,6.9,20,60
L,R,Caleb Thielbar,,23,,40,,,4.72,5.24,9.3,4.2,11,84
L,R,Chasen Shreve,90,,,17,,,3.51,4.13,14,3.6,11.8,100
L,R,Clayton Kershaw,,43,,74,,20,4.04,3.69,12.7,4.2,3.6,199
L,R,Cody Reed,,,,,14.000000000000002,50,3.35,4.25,12,2.4,14.5,55
L,R,Dallas Keuchel,52,,57.99999999999999,,26,,3.85,3.81,9.9,2.5,6.6,258
L,R,Daniel Castano,31,,,44,40,8,4.55,4.78,8.4,3.4,8.7,127
L,R,Daniel Norris,68,,,53,,11,3.66,3.57,12.8,3.4,6,116
L,R,Danny Duffy,28.000000000000004,49,,61,53,50,4.07,4.36,10.9,3.5,9.1,242
L,R,David Peterson,20,,,35,40,50,3.96,4.55,11.3,3.4,11.7,205
L,R,Derek Holland,4,,,,3,,5.08,5.34,11.3,5.8,8.4,182
L,R,Devin Smeltzer,12,,,0,,,5.28,5.35,10.2,5.7,6.9,72
L,R,Drew Pomeranz,88,,,82,,,3.44,4.27,13,3,13.7,73
L,R,Drew Smyly,,71,14.000000000000002,53,,,3.62,3.78,12.4,3.1,8.1,111
L,R,Eric Lauer,,,17,9,,,4.8,5.79,9.8,4.5,14.8,61
L,R,Framber Valdez,24,94,,,14.000000000000002,,3.78,3.6,9.3,2.1,5.6,306
