pitch_type,p_throws,stand,player_name,actual_whiff,mph,rpm,axis,pfx_x,pfx_z,exp_whiff_rate,n
CH,R,R,Ryne Stanek,0.25,88.53333333333333,1317.1666666666667,222,-0.9966666666666667,0.6908333333333333,0.2,12
CU,L,L,Stephen Tarpley,0.25,78.9,2438.3333333333335,297.3333333333333,-1.0825,0.2583333333333333,0.27,12
CU,L,L,Jordan Montgomery,0.125,81.10833333333333,2300.5,320.0416666666667,-0.12291666666666667,-0.23041666666666666,0.23,24
CU,L,L,Alex Young,0.2692307692307694,82.00384615384615,2435.9615384615386,297.34615384615387,-0.22115384615384615,-0.1723076923076923,0.22,26
CU,L,L,Joe Mantiply,0.2727272727272727,81.22727272727273,2523.090909090909,331.09090909090907,-0.5545454545454546,-0.43727272727272726,0.21,11
CU,L,L,Matt Strahm,0.18181818181818188,81.64545454545454,2522.5454545454545,267.09090909090907,-0.5572727272727273,-0.07272727272727272,0.21,11
CU,L,L,Robbie Ray,0.11764705882352944,84.2235294117647,2185.529411764706,269.2352941176471,-0.04176470588235294,-0.06529411764705882,0.21,17
CU,L,R,Jesus Luzardo,0.180327868852459,84.15245901639344,2547.0163934426228,231.39344262295083,-0.06868852459016393,-0.04885245901639344,0.25,61
CU,L,R,Stephen Tarpley,0.0714285714285714,78.48571428571428,2352.1428571428573,297.7142857142857,-1.1228571428571428,0.21357142857142858,0.25,14
CU,L,R,Alex Young,0.19718309859154926,81.5169014084507,2393.1267605633802,276.71830985915494,-0.19718309859154928,-0.18549295774647886,0.24,71
CU,L,R,Brooks Raley,0.19999999999999996,78.35333333333334,3032.9333333333334,288.3333333333333,-1.3353333333333333,-0.602,0.24,15
CU,L,R,Framber Valdez,0.23958333333333326,80.54270833333334,2991.5729166666665,293.9270833333333,-1.1234375,-1.1727083333333332,0.23,96
CU,R,L,Griffin Canning,0.375,86.9125,2625.6666666666665,170.66666666666666,-0.06041666666666667,-0.17833333333333334,0.42,24
CU,R,L,Dustin May,0.15000000000000013,87.02,3051.5,87.1,0.774,-0.434,0.38,20
CU,R,L,Joe Kelly,0.23809523809523814,87.43809523809524,3005.7619047619046,81.57142857142857,0.81,-0.7557142857142858,0.38,21
CU,R,L,Craig Kimbrel,0.14814814814814814,85.62962962962963,2503.1481481481483,55.22222222222222,0.9133333333333333,-0.6203703703703703,0.37,27
CU,R,L,Tyler Rogers,0.1428571428571428,71.0904761904762,2275.714285714286,117.0952380952381,1.0538095238095238,1.2057142857142857,0.36,21
CU,R,R,Joe Kelly,0.2592592592592591,87.39259259259259,3025.5555555555557,59,0.855925925925926,-0.8477777777777777,0.29,27
